Value,S,K,tau,r,BS
1.255000003,431.6185995,460,0.293650794,0.03147,Over
0.125004034,434.7728549,450,0.043650794,0.03147,Over
7.208136262,434.7728549,430,0.043650794,0.03147,Under
18.29407917,432.6332958,420,0.182539683,0.03147,Under
7.500000001,432.6332958,435,0.182539683,0.03147,Under
7.000000794,431.6185995,440,0.293650794,0.03147,Over
5.189999998,431.6185995,445,0.293650794,0.03147,Over
10.60136174,432.6332958,430,0.182539683,0.03147,Under
24.50102757,431.6185995,415,0.293650794,0.03147,Under
0.470000001,434.7728549,445,0.043650794,0.03147,Over
13.07400766,431.6185995,430,0.293650794,0.03147,Under
5.06500446,432.6332958,440,0.182539683,0.03147,Over
15.97440879,434.7728549,420,0.043650794,0.03147,Under
1.815001776,432.6332958,450,0.182539683,0.03147,Over
35.48195643,434.7728549,400,0.043650794,0.03147,Under
11.45127253,434.7728549,425,0.043650794,0.03147,Under
25.68068132,434.7728549,410,0.043650794,0.03147,Under
10,431.6185995,435,0.293650794,0.03147,Under
16.27801378,431.6185995,425,0.293650794,0.03147,Under
0.470000568,432.6332958,460,0.182539683,0.03147,Over
37.36304823,431.6185995,400,0.293650794,0.03147,Under
32.84904134,431.6185995,405,0.293650794,0.03147,Under
0.970000002,432.6332958,455,0.182539683,0.03147,Over
3.190000005,432.6332958,445,0.182539683,0.03147,Over
41.75705513,431.6185995,395,0.293650794,0.03147,Under
60.7880836,431.6185995,375,0.293650794,0.03147,Under
14.19271944,432.6332958,425,0.182539683,0.03147,Under
55.9590758,431.6185995,380,0.293650794,0.03147,Under
51.19507181,431.6185995,385,0.293650794,0.03147,Under
20.75254633,434.7728549,415,0.043650794,0.03147,Under
22.48043889,432.6332958,415,0.182539683,0.03147,Under
20.17202067,431.6185995,420,0.293650794,0.03147,Under
46.52106202,431.6185995,390,0.293650794,0.03147,Under
3.875000001,434.7728549,435,0.043650794,0.03147,Under
2.125004383,431.6185995,455,0.293650794,0.03147,Over
1.755000002,434.7728549,440,0.043650794,0.03147,Over
26.82679861,432.6332958,410,0.182539683,0.03147,Under
28.51503445,431.6185995,410,0.293650794,0.03147,Under
3.1900001,431.6185995,450,0.293650794,0.03147,Over
30.57882854,434.7728549,405,0.043650794,0.03147,Under
50.29180677,430.6387189,385,0.28968254,0.03178,Under
0.345000005,433.8867624,445,0.03968254,0.03178,Over
19.30254203,430.6387189,420,0.28968254,0.03178,Under
13.44841072,432.0383665,425,0.178571429,0.03178,Under
0.815000008,432.0383665,455,0.178571429,0.03178,Over
21.64182146,432.0383665,415,0.178571429,0.03178,Under
14.94609527,433.8867624,420,0.03968254,0.03178,Under
0.190000002,432.0383665,465,0.178571429,0.03178,Over
9.91170688,432.0383665,430,0.178571429,0.03178,Under
45.00034846,432.0383665,390,0.178571429,0.03178,Under
4.440000003,432.0383665,440,0.178571429,0.03178,Over
1.84501117,430.6387189,455,0.28968254,0.03178,Over
1.440009424,432.0383665,450,0.178571429,0.03178,Over
59.82516913,430.6387189,375,0.28968254,0.03178,Under
27.58590338,430.6387189,410,0.28968254,0.03178,Under
30.70523217,432.0383665,405,0.178571429,0.03178,Under
34.5508912,433.8867624,400,0.03968254,0.03178,Under
6.303698419,433.8867624,430,0.03968254,0.03178,Under
36.42926474,430.6387189,400,0.28968254,0.03178,Under
29.58719291,433.8867624,405,0.03968254,0.03178,Under
24.65349433,433.8867624,410,0.03968254,0.03178,Under
12.14418104,430.6387189,430,0.28968254,0.03178,Under
0.125000735,430.6387189,475,0.28968254,0.03178,Over
0.565001327,430.6387189,465,0.28968254,0.03178,Over
45.55762609,430.6387189,390,0.28968254,0.03178,Under
0.255000005,430.6387189,470,0.28968254,0.03178,Over
1.065000102,433.8867624,440,0.03968254,0.03178,Over
3.190000091,430.6387189,450,0.28968254,0.03178,Over
2.755000023,432.0383665,445,0.178571429,0.03178,Over
6.500003051,430.6387189,440,0.28968254,0.03178,Over
54.87599552,430.6387189,380,0.28968254,0.03178,Under
17.48011608,432.0383665,420,0.178571429,0.03178,Under
8.875,430.6387189,435,0.28968254,0.03178,Over
31.91508407,430.6387189,405,0.28968254,0.03178,Under
10.29739692,433.8867624,425,0.03968254,0.03178,Under
23.25672271,430.6387189,415,0.28968254,0.03178,Under
19.75479378,433.8867624,415,0.03968254,0.03178,Under
35.36693909,432.0383665,400,0.178571429,0.03178,Under
40.76344542,430.6387189,395,0.28968254,0.03178,Under
2.94,433.8867624,435,0.03968254,0.03178,Over
40.14864859,432.0383665,395,0.178571429,0.03178,Under
1.035000014,430.6387189,460,0.28968254,0.03178,Over
0.440000663,432.0383665,460,0.178571429,0.03178,Over
4.69,430.6387189,445,0.28968254,0.03178,Over
6.814999997,432.0383665,435,0.178571429,0.03178,Over
26.23352681,432.0383665,410,0.178571429,0.03178,Under
15.65836135,430.6387189,425,0.28968254,0.03178,Under
21.89467684,432.3504711,415,0.174603175,0.03168,Under
12.14994774,431.0203943,430,0.285714286,0.03168,Under
0.970000022,431.0203943,460,0.285714286,0.03168,Over
1.875009535,431.0203943,455,0.285714286,0.03168,Over
0.625000101,432.3504711,455,0.174603175,0.03168,Over
9.130000003,431.0203943,435,0.285714286,0.03168,Over
19.42984119,431.0203943,420,0.285714286,0.03168,Under
23.51478825,431.0203943,415,0.285714286,0.03168,Under
0.315006565,432.3504711,460,0.174603175,0.03168,Over
9.787422436,432.3504711,430,0.174603175,0.03168,Under
55.28941769,431.0203943,380,0.285714286,0.03168,Under
3.005004839,434.6381069,435,0.035714286,0.03168,Over
0.160000012,432.3504711,465,0.174603175,0.03168,Over
0.220000254,434.6381069,445,0.035714286,0.03168,Over
4.374999998,432.3504711,440,0.174603175,0.03168,Over
60.14936713,431.0203943,375,0.285714286,0.03168,Under
45.7895236,431.0203943,390,0.285714286,0.03168,Under
30.95951525,432.3504711,405,0.174603175,0.03168,Under
35.65193446,432.3504711,400,0.174603175,0.03168,Under
13.38483842,432.3504711,425,0.174603175,0.03168,Under
0.280000002,431.0203943,470,0.285714286,0.03168,Over
6.749999998,432.3504711,435,0.174603175,0.03168,Over
30.28607663,434.6381069,405,0.035714286,0.03168,Under
2.50000006,432.3504711,445,0.174603175,0.03168,Over
0.940000184,434.6381069,440,0.035714286,0.03168,Over
0.125000709,431.0203943,475,0.285714286,0.03168,Over
50.55448197,431.0203943,385,0.285714286,0.03168,Under
6.379346063,434.6381069,430,0.035714286,0.03168,Over
32.10968237,431.0203943,405,0.285714286,0.03168,Under
41.14458728,431.0203943,395,0.285714286,0.03168,Under
27.90473531,431.0203943,410,0.285714286,0.03168,Under
40.43435367,432.3504711,395,0.174603175,0.03168,Under
17.54225762,432.3504711,420,0.174603175,0.03168,Under
26.30209604,432.3504711,410,0.174603175,0.03168,Under
2.845000291,431.0203943,450,0.285714286,0.03168,Over
20.38738909,434.6381069,415,0.035714286,0.03168,Under
0.155000001,432.3504711,470,0.174603175,0.03168,Over
6.750001696,431.0203943,440,0.285714286,0.03168,Over
4.565000001,431.0203943,445,0.285714286,0.03168,Over
1.375,432.3504711,450,0.174603175,0.03168,Over
15.66489412,431.0203943,425,0.285714286,0.03168,Under
15.52303818,434.6381069,420,0.035714286,0.03168,Under
0.470004836,431.0203943,465,0.285714286,0.03168,Over
36.49962943,431.0203943,400,0.285714286,0.03168,Under
25.29173028,434.6381069,410,0.035714286,0.03168,Under
45.09677288,432.3504711,390,0.174603175,0.03168,Under
10.86869217,434.6381069,425,0.035714286,0.03168,Under
7.000001061,426.0250065,435,0.281746032,0.03188,Under
45.84262084,426.0250065,385,0.281746032,0.03188,Under
15.39482673,429.2550328,415,0.031746032,0.03188,Under
7.375,428.042219,430,0.170634921,0.03188,Under
20.10976897,429.2550328,410,0.031746032,0.03188,Under
27.96145387,426.0250065,405,0.281746032,0.03188,Under
9.499999999,426.0250065,430,0.281746032,0.03188,Under
12.20529123,426.0250065,425,0.281746032,0.03188,Under
2.09500315,426.0250065,450,0.281746032,0.03188,Over
3.440000024,426.0250065,445,0.281746032,0.03188,Over
50.54790774,426.0250065,380,0.281746032,0.03188,Under
14.51074928,428.042219,420,0.170634921,0.03188,Under
0.160000002,429.2550328,445,0.031746032,0.03188,Under
0.440002128,426.0250065,465,0.281746032,0.03188,Over
1.255,426.0250065,455,0.281746032,0.03188,Over
23.8811631,426.0250065,410,0.281746032,0.03188,Under
24.94471532,429.2550328,405,0.031746032,0.03188,Under
36.44012248,428.042219,395,0.170634921,0.03188,Under
22.83149856,428.042219,410,0.170634921,0.03188,Under
0.190000002,428.042219,460,0.170634921,0.03188,Over
10.86988449,429.2550328,420,0.031746032,0.03188,Under
41.12799728,428.042219,390,0.170634921,0.03188,Under
19.80087232,426.0250065,415,0.281746032,0.03188,Under
1.155000008,429.2550328,435,0.031746032,0.03188,Under
0.125000108,426.0250065,475,0.281746032,0.03188,Over
27.24437436,428.042219,405,0.170634921,0.03188,Under
0.315006143,426.0250065,470,0.281746032,0.03188,Over
6.689944259,429.2550328,425,0.031746032,0.03188,Under
29.87965386,429.2550328,400,0.031746032,0.03188,Under
36.74703644,426.0250065,395,0.281746032,0.03188,Under
16.09558818,426.0250065,420,0.281746032,0.03188,Under
3.065000002,428.042219,440,0.170634921,0.03188,Over
0.625000421,426.0250065,460,0.281746032,0.03188,Over
0.315000001,429.2550328,440,0.031746032,0.03188,Over
0.875000001,428.042219,450,0.170634921,0.03188,Over
0.190006356,428.042219,465,0.170634921,0.03188,Over
3.255000001,429.2550328,430,0.031746032,0.03188,Under
31.83724859,428.042219,400,0.170634921,0.03188,Under
32.35675382,426.0250065,400,0.281746032,0.03188,Under
0.470000286,428.042219,455,0.170634921,0.03188,Over
0.125000015,426.0250065,480,0.281746032,0.03188,Over
18.54862392,428.042219,415,0.170634921,0.03188,Under
41.32732628,426.0250065,390,0.281746032,0.03188,Under
10.84787601,428.042219,425,0.170634921,0.03188,Under
55.41320048,426.0250065,375,0.281746032,0.03188,Under
4.815004423,428.042219,435,0.170634921,0.03188,Over
5.004999997,426.0250065,440,0.281746032,0.03188,Under
1.875000797,428.042219,445,0.170634921,0.03188,Over
5.965660217,429.1267787,425,0.027777778,0.03126,Under
9.849018332,427.0155259,425,0.166666667,0.03126,Under
0.780000247,429.1267787,435,0.027777778,0.03126,Over
15.5435475,425.4723309,420,0.277777778,0.03126,Under
14.9269808,429.1267787,415,0.027777778,0.03126,Under
0.315004334,425.4723309,470,0.277777778,0.03126,Over
0.220000011,429.1267787,440,0.027777778,0.03126,Over
35.4431242,427.0155259,395,0.166666667,0.03126,Under
1.345009504,427.0155259,445,0.166666667,0.03126,Over
36.26239904,425.4723309,395,0.277777778,0.03126,Under
34.59462257,429.1267787,395,0.027777778,0.03126,Under
10.15132045,429.1267787,420,0.027777778,0.03126,Under
3.035000104,425.4723309,445,0.277777778,0.03126,Over
9.129999997,425.4723309,430,0.277777778,0.03126,Under
0.125000002,427.0155259,465,0.166666667,0.03126,Over
0.125000008,425.4723309,480,0.277777778,0.03126,Over
2.50500004,427.0155259,440,0.166666667,0.03126,Over
19.31531387,425.4723309,415,0.277777778,0.03126,Under
2.69,429.1267787,430,0.027777778,0.03126,Under
26.31008885,427.0155259,405,0.166666667,0.03126,Under
27.34885645,425.4723309,405,0.277777778,0.03126,Under
0.755000051,425.4723309,460,0.277777778,0.03126,Over
23.27208516,425.4723309,410,0.277777778,0.03126,Under
6.630002461,425.4723309,435,0.277777778,0.03126,Under
54.58948431,425.4723309,375,0.277777778,0.03126,Under
29.69396139,429.1267787,400,0.027777778,0.03126,Under
6.879999997,427.0155259,430,0.166666667,0.03126,Under
1.255000003,425.4723309,455,0.277777778,0.03126,Over
30.84910895,427.0155259,400,0.166666667,0.03126,Under
12.08677139,425.4723309,425,0.277777778,0.03126,Under
0.315003472,427.0155259,455,0.166666667,0.03126,Over
0.625000051,427.0155259,450,0.166666667,0.03126,Over
1.875006604,425.4723309,450,0.277777778,0.03126,Over
0.505000504,425.4723309,465,0.277777778,0.03126,Over
31.99562817,425.4723309,400,0.277777778,0.03126,Under
21.77107097,427.0155259,410,0.166666667,0.03126,Under
40.71917061,425.4723309,390,0.277777778,0.03126,Under
0.190000001,425.4723309,475,0.277777778,0.03126,Over
39.97714198,427.0155259,390,0.166666667,0.03126,Under
13.45303548,427.0155259,420,0.166666667,0.03126,Under
50.07271299,425.4723309,380,0.277777778,0.03126,Under
17.42705323,427.0155259,415,0.166666667,0.03126,Under
0.190000001,427.0155259,460,0.166666667,0.03126,Over
4.754999998,425.4723309,440,0.277777778,0.03126,Under
19.82764087,429.1267787,410,0.027777778,0.03126,Under
4.315,427.0155259,435,0.166666667,0.03126,Over
45.30594161,425.4723309,385,0.277777778,0.03126,Under
24.69830115,429.1267787,405,0.027777778,0.03126,Under
32.14067685,428.9963681,400,0.154761905,0.03116,Under
52.02248152,427.7623364,380,0.265873016,0.03116,Under
7.130000002,428.9963681,430,0.154761905,0.03116,Over
27.3197307,428.9963681,405,0.154761905,0.03116,Under
0.625000049,428.9963681,450,0.154761905,0.03116,Over
21.21511077,430.8523732,410,0.015873016,0.03116,Under
42.66998478,427.7623364,390,0.265873016,0.03116,Under
11.34005563,430.8523732,420,0.015873016,0.03116,Under
56.70123352,427.7623364,375,0.265873016,0.03116,Under
47.22373288,427.7623364,385,0.265873016,0.03116,Under
22.97378456,428.9963681,410,0.154761905,0.03116,Under
18.49783842,428.9963681,415,0.154761905,0.03116,Under
7.00500027,427.7623364,435,0.265873016,0.03116,Over
1.065000003,427.7623364,455,0.265873016,0.03116,Over
24.70999239,427.7623364,410,0.265873016,0.03116,Under
16.8524962,427.7623364,420,0.265873016,0.03116,Under
28.91874049,427.7623364,405,0.265873016,0.03116,Under
6.657527609,430.8523732,425,0.015873016,0.03116,Under
36.83162298,428.9963681,395,0.154761905,0.03116,Under
10.41595733,428.9963681,425,0.154761905,0.03116,Under
16.24758279,430.8523732,415,0.015873016,0.03116,Under
4.505003614,428.9963681,435,0.154761905,0.03116,Over
1.905005959,427.7623364,450,0.265873016,0.03116,Over
20.69124429,427.7623364,415,0.265873016,0.03116,Under
0.125000003,428.9963681,465,0.154761905,0.03116,Over
1.440004935,428.9963681,445,0.154761905,0.03116,Over
37.8962371,427.7623364,395,0.265873016,0.03116,Under
33.34248859,427.7623364,400,0.265873016,0.03116,Under
0.155000013,427.7623364,475,0.265873016,0.03116,Over
0.345001864,428.9963681,455,0.154761905,0.03116,Over
0.160000002,430.8523732,440,0.015873016,0.03116,Under
4.814999999,427.7623364,440,0.265873016,0.03116,Over
2.755000166,430.8523732,430,0.015873016,0.03116,Under
41.62756957,428.9963681,390,0.154761905,0.03116,Under
2.50500002,428.9963681,440,0.154761905,0.03116,Over
13.26874928,427.7623364,425,0.265873016,0.03116,Under
0.660000067,430.8523732,435,0.015873016,0.03116,Over
0.190000001,428.9963681,460,0.154761905,0.03116,Over
10,427.7623364,430,0.265873016,0.03116,Under
0.345010065,427.7623364,465,0.265873016,0.03116,Over
0.625000378,427.7623364,460,0.265873016,0.03116,Over
14.39189228,428.9963681,420,0.154761905,0.03116,Under
0.220000002,427.7623364,470,0.265873016,0.03116,Over
3.125000059,427.7623364,445,0.265873016,0.03116,Over
12.77476552,427.6047004,425,0.261904762,0.03085,Under
0.440000654,431.3421064,435,0.011904762,0.03085,Over
4.315003906,429.3142924,435,0.150793651,0.03085,Over
11.71632808,431.3421064,420,0.011904762,0.03085,Under
32.17576573,429.3142924,400,0.150793651,0.03085,Under
27.41397049,429.3142924,405,0.150793651,0.03085,Under
14.4535882,429.3142924,420,0.150793651,0.03085,Under
6.81316433,431.3421064,425,0.011904762,0.03085,Under
7.065000003,429.3142924,430,0.150793651,0.03085,Over
46.95787563,427.6047004,385,0.261904762,0.03085,Under
0.565000111,429.3142924,450,0.150793651,0.03085,Over
2.875000139,427.6047004,445,0.261904762,0.03085,Over
10.5417941,429.3142924,425,0.150793651,0.03085,Under
9.689999999,427.6047004,430,0.261904762,0.03085,Under
20.25929187,427.6047004,415,0.261904762,0.03085,Under
2.625005472,431.3421064,430,0.011904762,0.03085,Over
0.3450085,427.6047004,465,0.261904762,0.03085,Over
28.48881979,427.6047004,405,0.261904762,0.03085,Under
0.255000001,427.6047004,470,0.261904762,0.03085,Over
0.315003137,429.3142924,455,0.150793651,0.03085,Over
33.19859034,427.6047004,400,0.261904762,0.03085,Under
0.185000001,427.6047004,475,0.261904762,0.03085,Over
22.84217641,429.3142924,410,0.150793651,0.03085,Under
1.7850089,427.6047004,450,0.261904762,0.03085,Over
2.375000034,429.3142924,440,0.150793651,0.03085,Over
1.315008818,429.3142924,445,0.150793651,0.03085,Over
1.005000009,427.6047004,455,0.261904762,0.03085,Over
0.375000001,427.6047004,460,0.261904762,0.03085,Over
37.65834794,427.6047004,395,0.261904762,0.03085,Under
24.27905584,427.6047004,410,0.261904762,0.03085,Under
